WKT,nombre,descripción
"POINT (-2.97696 43.30281999999999)",Erandio - Ida Altzaga 65 Bote,
"POINT (-2.98681 43.31462999999999)",Astrabudua,
"POINT (-2.98686 43.32574)",Leioa - Vuelta Donibane/San Juan Kontserbatorioa,11,
"POINT (-2.9962324 43.3304889)",Artatza (Suhiltzaileak/Bomberos),
"POINT (-3.0070185 43.3245338)",Rotonda Del Soplador,
"POINT (-3.0152 43.32745999999999)",Areeta/Las Arenas - Zugazarte,2,
"POINT (-3.009647000000001 43.33700710000001)",Zugazarte (Triángulo),
"POINT (-3.000584 43.34866739999999)",Los Chopos 46 (Fadura),
"POINT (-3.0067566 43.3569712)",Ollaretxe 10 (El Redentor),
"POINT (-3.0093975 43.35799759999999)",Bidezabal (Venancios),
"POINT (-2.9983029 43.3667142)",Moreaga,
