WKT,nombre,descripción
"POINT (-2.9981778 43.3667022)",Berango (Moreaga),
"POINT (-3.0093476 43.3579556)",Algorta (Venancios),
"POINT (-3.0068599 43.3569897)",Algorta (Redentor),
"POINT (-3.0001318 43.3477249)",Algorta (polideportivo Fadura),
"POINT (-3.0095384 43.3370012)",LaS Arenas (P. Bus Zugazarte Triangulo),
"POINT (-3.0152282 43.3274737)",LaS Arenas (P. Bus Zugazarte 2),
"POINT (-3.0036309 43.333904)",Romo (Rotonda),
"POINT (-3.0024701 43.3281629)",Romo (Artaza ikastetxea, los pinos),
"POINT (-2.9964602 43.3300556)",Romo (Bomberos Avanzada),
"POINT (-2.9879508 43.3258737)",Leioa (Batzoki, Sakoneta),
"POINT (-2.9742859 43.3338362)",Leioa (Rotonda UPV, IES Barandiaran),
"POINT (-2.98681 43.31462999999999)",Astrabudua (Metro),
"POINT (-2.9770871 43.3026894)",Erandio (Altzaga, Ria),

