WKT,nombre,descripción
"POINT (-2.91819 43.23945999999999)",ARRIGORRIAGA (Ollargan),
"POINT (-2.92132 43.2415)",BILBAO (Rotonda LA PEÑA C/ABUSU),
"POINT (-2.93162 43.24938)",BILBAO (Miribilla C/Martin Barua 17 IES SAN ADRIAN),
"POINT (-2.9351422 43.25739790000001)",BILBAO (C/ Autonomía 4, Plaza Zabalburu),
"POINT (-2.942879 43.2577892)",BILBAO (C/ Autonomia 50 La Casilla),
"POINT (-2.9555101 43.2733321)",BILBAO (Rotonda Sarriko),
"POINT (-2.9501158 43.27195619999999)",BILBAO (C/Lehendakari Aguirre 33 Bidarte),
"POINT (-2.944169999999999 43.27168)",BILBAO (Plaza San Pedro),
"POINT (-2.9185208 43.2676254)",BILBAO (C/Maurice Ravel Telefônica),
"POINT (-2.91487 43.2608)",BILBAO (Avda. Zumalakarregi 38 Parque Etxebarria),
"POINT (-2.91092 43.25572999999999)",BILBAO (Avda. Zumalakarregi 56 Santutxu),

